_id,Year/Année,Month/Mois,Live Births/Naissances vivantes,Marriages/Mariages,Deaths/Dècés,Stillbirths/Mortinaissances
1,1994,January/janvier,11631,2078,8094,75
2,1994,February/février,11254,2650,6428,62
3,1994,March/mars,13003,2557,6503,73
4,1994,April/avril,12576,3967,6224,74
5,1994,May/mai,13240,6493,6483,67
6,1994,June/juin,13072,7754,6187,66
7,1994,July/juillet,13045,9264,6196,70
8,1994,August/août,12982,9194,5926,79
9,1994,September/septembre,12416,8540,6062,60
10,1994,October/octobre,11845,7400,6515,59
11,1994,November/novembre,11547,3313,6247,56
12,1994,December/décembre,11495,3464,6931,43
13,1995,January/janvier,11611,2007,6946,78
14,1995,February/février,11102,2579,6744,84
15,1995,March/mars,12967,2737,7278,75
16,1995,April/avril,12490,3666,6702,87
17,1995,May/mai,13398,6563,6690,112
18,1995,June/juin,13143,8073,6179,76
19,1995,July/juillet,13030,8918,6337,60
20,1995,August/août,12863,9412,6081,100
21,1995,September/septembre,12450,9983,6060,78
22,1995,October/octobre,12044,6475,6391,89
23,1995,November/novembre,11060,3473,6403,70
24,1995,December/décembre,10848,3635,6918,75
25,1996,January/janvier,11487,1980,7151,94
26,1996,February/février,11060,2713,6524,74
27,1996,March/mars,12189,2522,6933,72
28,1996,April/avril,12049,3179,6476,77
29,1996,May/mai,12668,6284,6534,94
30,1996,June/juin,12137,9238,6079,70
31,1996,July/juillet,12469,7638,6231,73
32,1996,August/août,12300,10709,6238,76
33,1996,September/septembre,11898,8640,6039,53
34,1996,October/octobre,11553,6574,6927,64
35,1996,November/novembre,10329,3559,6556,52
36,1996,December/décembre,10752,3135,7593,58
37,1997,January/janvier,10740,1823,8084,102
38,1997,February/février,10062,2664,6518,64
39,1997,March/mars,11552,2367,7001,62
40,1997,April/avril,11907,3192,6544,84
41,1997,May/mai,12131,7075,6620,82
42,1997,June/juin,11459,7843,6349,67
43,1997,July/juillet,11934,7726,6209,75
44,1997,August/août,11279,10721,6088,62
45,1997,September/septembre,11036,8076,6086,57
46,1997,October/octobre,11019,6487,6792,68
47,1997,November/novembre,10113,3375,6535,45
48,1997,December/décembre,10471,2892,6937,19
49,1998,January/janvier,10894,1838,7239,66
50,1998,February/février,10695,2875,7551,63
51,1998,March/mars,12095,2193,7745,87
52,1998,April/avril,12159,2938,6431,78
53,1998,May/mai,12515,6692,6516,85
54,1998,June/juin,11817,7736,6185,61
55,1998,July/juillet,12332,8065,6141,70
56,1998,August/août,11700,10801,6197,54
57,1998,September/septembre,11920,8197,6064,68
58,1998,October/octobre,11230,7105,6588,80
59,1998,November/novembre,10211,3125,6744,74
60,1998,December/décembre,10663,2990,6986,68
61,1999,January/janvier,10706,1991,7794,69
62,1999,February/février,10299,2364,7087,76
63,1999,March/mars,11711,2374,7695,75
64,1999,April/avril,11261,3107,6457,58
65,1999,May/mai,11922,6774,6617,72
66,1999,June/juin,12039,7488,6087,75
67,1999,July/juillet,12261,9519,6296,64
68,1999,August/août,11621,9959,6289,61
69,1999,September/septembre,11754,8589,6224,77
70,1999,October/octobre,10984,7757,6666,77
71,1999,November/novembre,10248,3270,6585,63
72,1999,December/décembre,10719,2943,7786,77
73,2000,January/janvier,10999,1912,8537,85
74,2000,February/février,10629,2607,6672,77
75,2000,March/mars,11783,2388,6978,60
76,2000,April/avril,11194,3358,6433,70
77,2000,May/mai,12088,6284,6605,75
78,2000,June/juin,11660,7669,6276,66
79,2000,July/juillet,11713,9080,6515,55
80,2000,August/août,11290,9455,6174,78
81,2000,September/septembre,10870,10130,6302,74
82,2000,October/octobre,10436,6402,6856,60
83,2000,November/novembre,10161,3099,6783,72
84,2000,December/décembre,10020,3056,7395,48
85,2001,January/janvier,10838,1826,7456,72
86,2001,February/février,10355,2251,6589,75
87,2001,March/mars,11751,2600,7268,52
88,2001,April/avril,11680,3037,6708,68
89,2001,May/mai,12344,5634,6761,86
